x,y,z,type,bodyId_post
22246,24431,49260,post,
23046,24868,49376,post,
29533,25349,47629,post,
21991,24283,49284,post,
28283,25078,47431,post,
30979,24250,47883,post,
30446,26996,47325,post,
30460,27095,47298,post,
30379,27084,47307,post,
30631,27162,47302,post,
30625,27160,47298,post,
30597,27141,47277,post,
30211,24505,47048,post,
30156,24456,47049,post,
28861,24488,47072,post,
28960,24434,47035,post,
30368,24477,47578,post,
30370,24487,47548,post,
28618,24898,47355,post,
30202,24568,47645,post,
29855,26153,47408,post,
29614,25337,47572,post,
28059,25188,47613,post,
29667,25292,47491,post,
29651,25289,47485,post,
30079,26168,47706,post,
28301,25106,47438,post,
30133,26071,47730,post,
28270,25166,47430,post,
30118,24600,47494,post,
28071,25241,47675,post,
26138,23141,46462,post,
25882,23124,46490,post,
26134,23136,46459,post,
25813,23100,46426,post,
24265,22515,45902,post,
29818,21964,46286,post,
30887,23667,44333,post,
25288,23486,44937,post,
25617,23571,44717,post,
23523,25267,50006,post,
26673,25567,48858,post,
28083,25068,48071,post,
24873,25488,49760,post,
27045,25630,48607,post,
24163,22811,46623,post,
27046,24471,47509,post,
29905,24385,47497,post,
30161,24373,47454,post,
23189,22348,46836,post,
23172,22382,46719,post,
23587,22470,46680,post,
23592,22455,46669,post,
22371,22231,47167,post,
22798,22283,46955,post,
22509,22340,46935,post,
22295,22268,47051,post,
25586,22997,46424,post,
25511,22901,46432,post,
24289,22711,46561,post,
25666,24539,46491,post,
25602,24516,46426,post,
28101,23140,47662,post,
28111,23140,47655,post,
28127,22988,47598,post,
23110,20716,47923,post,
23116,20717,47877,post,
28176,23105,47564,post,
29276,24149,48120,post,
29330,24126,48038,post,
29331,24120,48017,post,
29293,24143,48132,post,
28622,23080,46730,post,
29200,23658,47824,post,
28621,23085,46724,post,
28052,23598,47992,post,
29297,23670,47917,post,
29168,23622,47888,post,
29300,23607,47881,post,
29360,22793,47090,post,
29395,22916,47283,post,
29397,22871,47176,post,
29342,22953,47128,post,
29063,23062,43969,post,
29047,23080,43925,post,
29045,23091,43908,post,
28978,23021,43886,post,
30270,24187,47535,post,
30185,24161,47507,post,
24254,22769,46712,post,
24253,22680,46707,post,
25800,23065,46495,post,
25460,23241,48461,post,
25469,23247,48452,post,
25488,23250,48449,post,
25363,23434,48474,post,
25338,23403,48425,post,
26609,23574,48161,post,
27229,23607,47748,post,
27200,23735,47698,post,
27236,23612,47737,post,
27236,23612,47736,post,
24860,25865,50935,post,
24876,25868,50958,post,
24699,23284,47702,post,
24678,23277,47702,post,
24717,23242,47679,post,
24714,22724,47507,post,
25071,22686,47449,post,
24987,23706,47879,post,
24959,23693,47881,post,
24640,22487,47112,post,
24553,22503,47113,post,
24630,22448,47102,post,
29932,26378,48146,post,
30324,26129,47104,post,
24971,24336,47149,post,
25507,23815,45948,post,
