x,y,z,type,bodyId_post
21261,20058,44373,post,
19582,22597,48977,post,
25563,23764,45799,post,
16363,22061,45519,post,
23124,22047,46011,post,
22481,21879,45405,post,
26899,21929,45559,post,
26779,21829,45476,post,
26779,21766,45413,post,
16294,21560,46072,post,
21451,22155,48387,post,
21489,22177,48387,post,
20224,21827,48021,post,
19119,21008,47977,post,
19539,21399,48586,post,
19476,21393,48586,post,
19507,21398,48441,post,
20705,21757,48384,post,
29324,25478,47475,post,
22095,23527,47303,post,
22070,23325,47256,post,
22193,23727,47325,post,
22195,23704,47331,post,
22124,23574,47316,post,
22238,23605,47174,post,
26947,23239,47075,post,
27004,23250,46994,post,
27143,23564,47359,post,
27066,23618,47326,post,
19596,23079,47280,post,
19597,23086,47242,post,
24253,23183,44922,post,
24280,23057,44811,post,
22748,22785,45089,post,
22712,22804,45086,post,
24013,22803,45148,post,
25859,21255,47178,post,
19877,20281,47886,post,
22891,20227,44494,post,
22864,20218,44509,post,
19652,20847,44745,post,
27334,23769,46586,post,
27332,23767,46585,post,
27180,23705,46532,post,
27180,23706,46529,post,
24988,23707,46029,post,
25744,23007,45863,post,
23569,23068,46454,post,
23558,23058,46439,post,
22736,21884,46235,post,
22754,21859,46203,post,
25396,21007,46335,post,
25263,21046,46303,post,
20385,21025,47003,post,
20343,20957,46982,post,
20341,20952,46965,post,
24452,21018,44461,post,
20451,20694,44211,post,
19950,20603,44123,post,
19815,20627,44150,post,
24357,18567,43811,post,
24423,23125,44229,post,
24367,23109,44159,post,
24333,23471,43917,post,
24315,23446,43846,post,
24272,23372,43851,post,
25307,22796,43588,post,
21553,21101,43786,post,
21458,21015,43622,post,
20429,22346,48944,post,
20421,22326,48940,post,
20510,22376,48866,post,
21480,22212,48393,post,
21374,22170,48348,post,
25849,23661,47477,post,
17470,20923,48395,post,
17406,20892,48318,post,
17412,20888,48322,post,
20193,21438,47504,post,
19933,20643,45843,post,
19369,20568,45155,post,
19358,20574,45178,post,
20086,21923,47892,post,
29130,24134,47909,post,
29133,24138,47906,post,
29171,24161,47840,post,
29161,24159,47835,post,
26969,24258,47754,post,
26881,24195,47722,post,
29221,23833,48020,post,
27249,21951,47884,post,
25660,22062,48287,post,
25525,22196,47817,post,
24973,21852,47610,post,
24955,21750,47605,post,
22243,21987,47262,post,
20437,21497,47487,post,
20322,21523,48467,post,
19482,21185,47307,post,
19454,21160,47276,post,
19394,21150,47299,post,
19475,21067,47396,post,
19453,21067,47370,post,
29806,24563,47251,post,
29889,24486,47146,post,
27354,23802,46847,post,
26702,23861,46697,post,
24346,23536,46436,post,
24336,23510,46413,post,
23757,22952,47063,post,
23268,22960,46923,post,
23253,23164,47077,post,
23151,23088,46997,post,
24878,23252,46828,post,
24118,23256,46444,post,
25156,23793,45805,post,
25383,22797,45939,post,
22515,22039,47116,post,
22505,21974,47076,post,
22522,21945,47044,post,
22488,21960,47005,post,
24554,22078,45539,post,
25482,21814,45709,post,
20817,20652,44195,post,
20868,20592,44152,post,
20853,20752,44000,post,
