mn_type,mn_id,thorax,side,nerve_base,segment_hint,group,Target,joint,dof,action,gain,bias,sign,actuator_name,instance,type,systematicType,name,cellType,class,actuator_hint_note,actuator_name_autofill_score,muscle_group
MNad07_AbN4_L,13733,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad07_AbN4_L,MNad07,MNad07,,,motor neuron,no Target,4,extensor
MNad07_AbN4_L,14768,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad07_AbN4_L,MNad07,MNad07,,,motor neuron,no Target,4,extensor
MNad08_AbN4_L,13671,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad08_AbN4_L,MNad08,MNad08,,,motor neuron,no Target,4,extensor
MNad08_AbN4_L,15202,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad08_AbN4_L,MNad08,MNad08,,,motor neuron,no Target,4,extensor
MNad08_AbN4_L,15846,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad08_AbN4_L,MNad08,MNad08,,,motor neuron,no Target,4,extensor
MNad10_AbN3_L,13480,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad10_AbN3_L,MNad10,MNad10,,,motor neuron,no Target,4,extensor
MNad10_AbN4_L,14602,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad10_AbN4_L,MNad10,MNad10,,,motor neuron,no Target,4,extensor
MNad11_AbN3_L,13403,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad11_AbN3_L,MNad11,MNad11,,,motor neuron,no Target,4,extensor
MNad11_AbN4_L,13999,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad11_AbN4_L,MNad11,MNad11,,,motor neuron,no Target,4,extensor
MNad11_AbN4_L,18692,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad11_AbN4_L,MNad11,MNad11,,,motor neuron,no Target,4,extensor
MNad11_AbN4_L,19924,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad11_AbN4_L,MNad11,MNad11,,,motor neuron,no Target,4,extensor
MNad12_AbNT_L,13225,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad12_AbNT_L,MNad12,MNad12,,,motor neuron,no Target,4,extensor
MNad12_AbNT_L,14233,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad12_AbNT_L,MNad12,MNad12,,,motor neuron,no Target,4,extensor
MNad13_AbN2_L,12269,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN2_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad13_AbN3_L,12844,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN3_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad13_AbN4_L,13655,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN4_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad13_AbN4_L,16178,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN4_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad13_AbN4_L,23801,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN4_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad13_AbN4_L,100612,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad13_AbN4_L,MNad13,MNad13,,,motor neuron,no Target,4,extensor
MNad14_AbN3_L,12802,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad14_AbN3_L,MNad14,MNad14,,,motor neuron,no Target,4,extensor
MNad14_AbN4_L,12810,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad14_AbN4_L,MNad14,MNad14,,,motor neuron,no Target,4,extensor
MNad14_AbN4_L,13547,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad14_AbN4_L,MNad14,MNad14,,,motor neuron,no Target,4,extensor
MNad14_AbN4_L,14241,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad14_AbN4_L,MNad14,MNad14,,,motor neuron,no Target,4,extensor
MNad15_AbN4_L,12612,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad15_AbN4_L,MNad15,MNad15,,,motor neuron,no Target,4,extensor
MNad15_AbN4_L,15073,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad15_AbN4_L,MNad15,MNad15,,,motor neuron,no Target,4,extensor
MNad16_AbN3_L,15296,,left,AbN3,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad16_AbN3_L,MNad16,MNad16,,,motor neuron,no Target,4,extensor
MNad16_AbN4_L,17894,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad16_AbN4_L,MNad16,MNad16,,,motor neuron,no Target,4,extensor
MNad16_AbN4_L,22574,,left,AbN4,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad16_AbN4_L,MNad16,MNad16,,,motor neuron,no Target,4,extensor
MNad16_AbNT_L,153863,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad16_AbNT_L,MNad16,MNad16,,,motor neuron,no Target,4,extensor
MNad17_AbNT_L,11624,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad17_AbNT_L,MNad17,MNad17,,,motor neuron,no Target,4,extensor
MNad17_AbNT_L,12646,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad17_AbNT_L,MNad17,MNad17,,,motor neuron,no Target,4,extensor
MNad17_AbNT_L,12682,,left,AbNT,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad17_AbNT_L,MNad17,MNad17,,,motor neuron,no Target,4,extensor
MNad18_AbN2_L,11572,,left,AbN2,Ab,abdomen,,,,,1.0,0.0,,abdomen,MNad18_AbN2_L,MNad18,MNad18,,,motor neuron,no Target,4,extensor
