mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes,target_body,target_joint,weight
MNad01_AbN3_L,19300,AbN3,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad01_AbN3_R,18939,AbN3,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad01_AbN4_L,21022,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad01_AbN4_L,29602,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad01_AbN4_R,155854,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad01_AbN4_R,20052,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN2_L,18551,AbN2,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN2_R,17719,AbN2,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN3_L,19693,AbN3,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN3_R,24225,AbN3,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_L,18503,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_L,19824,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_L,25810,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_L,27651,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_R,154153,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_R,17319,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_R,20055,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad02_AbN4_R,20115,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_L,16305,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_L,28921,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_L,30702,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_R,16560,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_R,18060,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad03_AbN4_R,27988,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad04_AbNT_L,16437,AbNT,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad04_AbNT_L,16735,AbNT,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad04_AbNT_R,152119,AbNT,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad04_AbNT_R,16501,AbNT,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_L,102953,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_L,17179,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_L,17645,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_R,14902,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_R,16227,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad05_AbN4_R,16330,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN3_L,15388,AbN3,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN3_R,14211,AbN3,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_L,14981,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_L,15354,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_L,20425,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_R,101706,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_R,15059,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad06_AbN4_R,18674,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad07_AbN4_L,13733,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad07_AbN4_L,14768,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad07_AbN4_R,14288,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad07_AbN4_R,22139,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_L,13671,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_L,15202,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_L,15846,AbN4,abdomen,Ab,left,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_R,13242,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_R,13899,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad08_AbN4_R,159031,AbN4,abdomen,Ab,right,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad09_AbNT,100375,AbNT,abdomen,Ab,,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
MNad09_AbNT,13182,AbNT,abdomen,Ab,,abdomen,main,abdomen,1.0,,1.0,0.0,medium,autofill,abdomen,abdomen,1.0
