x,y,z,type,bodyId_post
25005,25706,50883,post,
25687,23743,45442,post,
25716,23798,45193,post,
23833,22328,45274,post,
23832,22313,45277,post,
23520,22486,45160,post,
23529,22482,45154,post,
23773,22350,45184,post,
24574,22377,45524,post,
29482,24292,48273,post,
29366,24280,48316,post,
29327,24256,48192,post,
29416,24265,48161,post,
29464,23603,48060,post,
29424,23518,47963,post,
29348,23662,47917,post,
29387,23612,47706,post,
22601,24472,48760,post,
24343,21562,48286,post,
19393,21363,48356,post,
19397,21322,48318,post,
27693,23552,47311,post,
22061,23320,47266,post,
30747,24032,44412,post,
30709,24021,44368,post,
30845,23965,44430,post,
30777,23906,44320,post,
30363,23775,44515,post,
30370,23775,44580,post,
27129,23538,47378,post,
26914,23223,47077,post,
27017,23234,46994,post,
27103,23616,47326,post,
22385,21910,47030,post,
28039,23857,46415,post,
24107,23109,44742,post,
23992,23157,44481,post,
25785,21176,47312,post,
25825,21147,47301,post,
25785,21246,47281,post,
28392,23963,46074,post,
27217,23803,46466,post,
27136,23720,46550,post,
24957,23702,46041,post,
25409,21003,46324,post,
25415,21018,46308,post,
25267,21054,46288,post,
30746,24062,44575,post,
30797,24070,44475,post,
30708,24044,44471,post,
30267,23751,44501,post,
30271,23695,44534,post,
30368,23772,44582,post,
30380,23757,44594,post,
28761,20921,43640,post,
24481,23096,44172,post,
24353,23101,44157,post,
24328,23470,43933,post,
24323,23461,43838,post,
24266,23382,43835,post,
24236,23427,43785,post,
25403,19982,43813,post,
23064,25357,49978,post,
23040,25323,49968,post,
26613,23516,48719,post,
26584,23486,48695,post,
26274,23400,48726,post,
30756,24137,44384,post,
29554,20052,42639,post,
24996,20941,43976,post,
20185,21407,47504,post,
20236,21337,47466,post,
20270,21323,47445,post,
20284,21314,47440,post,
31174,27408,47860,post,
29350,23825,48149,post,
29352,23810,48124,post,
29252,23834,48040,post,
29299,23740,48012,post,
27170,22985,47590,post,
27165,22968,47440,post,
27166,22979,47426,post,
21973,23220,47247,post,
22080,23211,47175,post,
25615,22165,48236,post,
28523,22786,47515,post,
28533,22791,47498,post,
24941,21751,47590,post,
30221,24754,47006,post,
30245,24718,46915,post,
29800,24604,47145,post,
26698,23779,46597,post,
26531,23758,46617,post,
26513,23736,46448,post,
23279,22939,46946,post,
23248,23149,47058,post,
23162,23117,47016,post,
23221,23102,47168,post,
24262,22884,47285,post,
22492,21969,47031,post,
22496,21974,47005,post,
29221,23245,45707,post,
29218,23252,45702,post,
29315,23227,45624,post,
24525,22082,45539,post,
29603,23554,45536,post,
30292,23865,44612,post,
25129,23519,48914,post,
25115,23628,48814,post,
25137,23592,48811,post,
23984,24400,48120,post,
23434,21066,47960,post,
28401,22920,47496,post,
28390,22937,47482,post,
28492,22980,47426,post,
28463,22973,47407,post,
27405,23338,47555,post,
28322,23148,47482,post,
28325,23151,47485,post,
26169,21288,47280,post,
26153,21316,47261,post,
30040,25578,46771,post,
29944,25606,46775,post,
31528,27748,47570,post,
30072,23549,46996,post,
30060,23560,46985,post,
