mn_type,mn_id,nerve,subsystem,thorax,side,joint,dof,actuator_name,sign,action,gain,bias,confidence,notes,target_body,target_joint,weight
MNml10_MesoLN_L,20378,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml10_MesoLN_R,29509,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml29_MesoLN_L,19773,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml29_MesoLN_R,12196,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml76_MesoLN_L,162825,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml76_MesoLN_R,156505,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml77_MesoLN_L,103416,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml77_MesoLN_R,200065,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_L,167919,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_L,20551,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_L,30709,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_R,30781,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_R,35950,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml78_MesoLN_R,39941,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml79_MesoLN_L,17964,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml79_MesoLN_R,32253,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml80_MesoLN_L,17697,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml80_MesoLN_L,25956,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml80_MesoLN_R,15616,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml81_MesoLN_L,13036,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml81_MesoLN_R,14828,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml82_MesoLN_L,101909,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml83_MesoLN_L,17036,MesoLN,leg,T2,left,,,coxa_T2_left,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml84_MesoLN_R,16497,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml85_MesoLN_R,16017,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
MNml86_MesoLN_R,162827,MesoLN,leg,T2,right,,,coxa_T2_right,1.0,,1.0,0.0,low,placeholder; refine to femur/tibia/twist if known,leg_T2,coxa,1.0
