pre_id,post_id,x,y,z,type
10361,28172,25197,25045,50862,pre
10361,27874,25197,25045,50862,pre
10361,17791,32832,27278,47472,pre
10361,14036,30709,24717,47383,pre
10361,14036,30709,24717,47383,pre
10361,14036,30709,24717,47383,pre
10361,157266,30616,24402,47564,pre
10361,157266,30616,24402,47564,pre
10361,157266,30616,24402,47564,pre
10361,10074,23196,23236,47160,pre
10361,18309,23196,23236,47160,pre
10361,156724,23196,23236,47160,pre
10361,10074,23196,23236,47160,pre
10361,18309,23196,23236,47160,pre
10361,156724,23196,23236,47160,pre
10361,10074,28354,23907,47213,pre
10361,10014,28354,23907,47213,pre
10361,18109,28354,23907,47213,pre
10361,18309,28354,23907,47213,pre
10361,16851,28354,23907,47213,pre
10361,14036,28354,23907,47213,pre
10361,25454,26103,22886,47166,pre
10361,16779,28360,24801,46609,pre
10361,10182,28360,24801,46609,pre
10361,16779,28360,24801,46609,pre
10361,10182,28360,24801,46609,pre
10361,11446,35821,24536,45730,pre
10361,11446,35821,24536,45730,pre
10361,11446,35821,24536,45730,pre
10361,11446,35821,24536,45730,pre
10361,11446,35948,24524,45524,pre
10361,11446,35948,24524,45524,pre
10361,11446,35948,24524,45524,pre
10361,11446,35948,24524,45524,pre
10361,11446,35904,24382,45396,pre
10361,11446,35904,24382,45396,pre
10361,11446,35904,24382,45396,pre
10361,11446,35894,24407,45399,pre
10361,11446,35894,24407,45399,pre
10361,11446,35904,24382,45396,pre
10361,11446,35948,24496,44877,pre
10361,11446,35948,24496,44877,pre
10361,11446,36163,23696,44057,pre
10361,11446,36163,23696,44057,pre
10361,11446,36163,23696,44057,pre
10361,11446,36163,23696,44057,pre
10361,11446,36478,21454,43426,pre
10361,11446,36478,21454,43426,pre
10361,11446,36478,21454,43426,pre
10361,11446,36478,21454,43426,pre
10361,11446,36478,21454,43426,pre
10361,11446,37575,19962,43484,pre
10361,11446,37575,19962,43484,pre
10361,11446,37575,19962,43484,pre
10361,11446,37575,19962,43484,pre
10361,171473,28358,23864,47122,pre
10361,10074,28358,23864,47122,pre
