x,y,z,type,bodyId_post
24976,25705,50882,post,
32811,34493,44920,post,
25622,23745,45705,post,
23474,22486,45144,post,
23664,22438,45168,post,
22707,24515,48765,post,
20182,21807,48124,post,
20192,21743,48038,post,
20221,21802,48227,post,
29246,25287,47521,post,
29330,25489,47535,post,
29320,25486,47493,post,
29236,25498,47520,post,
32139,24860,44590,post,
32146,24872,44594,post,
30843,23938,44413,post,
30782,23879,44358,post,
28276,23913,46226,post,
25729,23020,45869,post,
25145,22189,46102,post,
25404,20933,46225,post,
24841,21737,46259,post,
24875,21697,46246,post,
24928,21627,46205,post,
24948,21618,46195,post,
30672,24276,44399,post,
30746,24096,44574,post,
30711,24042,44458,post,
26263,20342,44099,post,
32655,35679,44627,post,
32734,35542,44668,post,
32707,35561,44660,post,
30840,24028,44268,post,
30834,24017,44262,post,
20182,21811,48126,post,
20231,21772,48259,post,
27603,24919,47411,post,
29226,24145,47840,post,
29234,24140,47824,post,
25664,22066,48266,post,
25618,22116,48247,post,
25680,22110,48208,post,
29900,24510,47146,post,
29807,24577,47251,post,
24433,23450,46406,post,
24441,23458,46409,post,
23207,23108,47168,post,
24451,23125,46262,post,
24348,23153,46228,post,
25446,21292,46576,post,
25400,21294,46590,post,
25428,21187,46602,post,
25707,22161,47032,post,
25084,23624,48814,post,
25143,23552,48813,post,
25350,21758,48078,post,
25320,21764,48029,post,
23440,21045,47968,post,
26142,21312,47245,post,
29478,22850,47088,post,
26027,21305,46812,post,
29534,22985,47157,post,
29417,22939,47114,post,
29389,22932,44389,post,
30823,24283,44473,post,
28588,21455,45751,post,
30580,24126,44446,post,
26341,19222,43736,post,
26190,19146,43738,post,
29613,23069,44119,post,
28227,20885,43204,post,
28139,20813,43199,post,
29409,22940,44280,post,
27216,19819,43144,post,
29589,22955,43986,post,
24631,19180,44180,post,
24608,19171,44182,post,
24706,18787,44030,post,
24599,19176,43992,post,
28188,21041,43355,post,
28189,21039,43349,post,
25815,19671,43767,post,
28573,21128,43160,post,
28727,22311,42990,post,
28531,21083,43147,post,
28510,21074,43125,post,
28536,21102,43097,post,
25354,23471,48146,post,
25352,23468,48143,post,
25354,23469,48143,post,
25233,23369,48111,post,
21023,20625,47260,post,
22727,23520,48073,post,
24284,18886,43927,post,
24032,22666,46083,post,
23513,22479,46214,post,
23523,22511,45869,post,
23308,22390,45875,post,
23309,22389,45882,post,
24041,22665,46078,post,
23890,22623,45992,post,
23532,22533,45876,post,
22821,22593,45095,post,
23021,22494,44977,post,
22672,22598,44866,post,
22638,22599,44853,post,
22709,22595,44906,post,
29615,23337,46286,post,
29497,22914,47064,post,
29453,22931,46953,post,
29619,22893,46913,post,
29503,23284,46509,post,
29448,23094,44234,post,
29449,23089,44233,post,
29478,23376,46536,post,
29398,23029,44114,post,
29256,23186,43791,post,
29204,23127,43826,post,
29437,23187,46938,post,
29463,23115,46983,post,
29500,23079,46930,post,
28966,21981,47042,post,
31070,24845,47454,post,
31102,24812,47372,post,
31678,25064,47029,post,
31434,24840,47266,post,
31376,24894,47190,post,
31456,24898,47115,post,
31372,24806,47242,post,
31452,24764,47152,post,
31471,24765,47117,post,
32834,35191,44688,post,
32269,35477,44639,post,
32267,35499,44618,post,
27732,25092,47963,post,
28197,24977,46680,post,
26294,20434,45379,post,
24472,25393,50292,post,
21421,23741,48749,post,
29510,25388,47716,post,
29527,25364,47629,post,
28259,25041,47431,post,
30267,26857,47278,post,
30453,27014,47315,post,
29921,24529,47366,post,
29009,24481,47236,post,
28807,24461,47197,post,
30505,24341,47755,post,
20071,22902,48216,post,
30228,24553,47133,post,
30217,24558,47128,post,
30553,27253,47307,post,
30515,27246,47287,post,
30140,24456,47051,post,
28950,24415,47035,post,
30482,24450,47503,post,
30446,24420,47533,post,
29950,24542,47386,post,
28192,25055,47324,post,
28623,24894,47333,post,
29949,24612,47310,post,
28073,25195,47627,post,
29671,25287,47535,post,
29599,26093,47624,post,
29865,24736,47392,post,
28072,25192,47665,post,
29699,25089,47612,post,
29665,25044,47561,post,
25921,23138,46518,post,
25062,21855,45856,post,
24800,22677,45715,post,
24812,22689,45702,post,
23581,22284,45794,post,
23601,22280,45791,post,
29813,22007,46342,post,
29843,21992,46303,post,
29845,21000,44781,post,
29827,21056,44708,post,
30865,23649,44400,post,
26182,20293,42734,post,
23547,25250,50019,post,
26160,25591,49155,post,
24579,25428,49872,post,
24381,25389,49901,post,
24385,25377,49885,post,
21596,24059,49202,post,
26552,25683,48999,post,
29180,25789,48193,post,
30130,24355,47464,post,
23557,22487,46680,post,
23565,22418,46697,post,
29720,24569,47520,post,
22368,22250,47169,post,
22640,22318,46985,post,
22532,22346,46952,post,
24884,22876,46516,post,
25587,23026,46424,post,
25547,23039,46336,post,
29641,24460,47121,post,
29651,24473,47118,post,
29137,22487,46928,post,
23750,22984,46686,post,
28181,25067,46677,post,
28055,24877,47169,post,
28067,24823,47278,post,
28098,24746,47313,post,
23131,20716,47902,post,
23116,20719,47901,post,
21177,23518,48549,post,
29336,22861,47084,post,
29624,23207,44591,post,
22571,20559,46689,post,
29328,22952,47128,post,
29059,23060,43994,post,
28123,21656,42930,post,
28031,21628,42894,post,
30271,24200,47513,post,
24595,21922,48116,post,
32764,34454,45194,post,
20323,22830,48402,post,
24189,22795,44436,post,
24782,19572,44177,post,
24032,25952,50689,post,
23761,25327,51175,post,
24016,25958,50671,post,
22110,22916,48374,post,
29120,22905,43574,post,
28532,22610,42891,post,
22242,21959,48083,post,
22987,24522,49238,post,
21626,21508,48084,post,
21595,21488,48122,post,
24171,21116,48091,post,
21062,21925,47459,post,
20445,22047,48471,post,
20451,21994,48614,post,
20470,21958,48544,post,
19961,21882,48499,post,
24477,21014,46676,post,
24503,21008,46851,post,
23831,23332,46636,post,
23835,23335,46633,post,
27439,23049,46352,post,
29583,22457,46404,post,
25683,21831,46499,post,
32904,33500,44844,post,
32722,33452,44830,post,
33141,33560,44839,post,
33052,33558,44855,post,
33087,33563,44847,post,
33462,33844,45467,post,
22602,24231,48909,post,
