x,y,z,type,bodyId_post
22650,28699,47757,post,
22669,28643,47852,post,
22691,28542,47695,post,
22758,28801,46534,post,
22774,28736,46515,post,
22714,29148,46203,post,
22715,29176,46210,post,
21858,30221,41314,post,
21836,30226,41324,post,
21871,30210,41303,post,
22682,36506,73278,post,
22680,36513,73268,post,
23111,29808,49234,post,
22927,32740,57767,post,
22909,32720,57743,post,
22877,31978,56304,post,
22880,31967,56263,post,
22901,31985,56246,post,
22876,31957,56237,post,
22930,32039,56322,post,
22943,32036,56289,post,
22950,32056,56347,post,
23184,30209,51289,post,
23248,30196,51340,post,
23228,30199,51322,post,
23366,29950,50453,post,
23378,29939,50483,post,
23073,30217,51191,post,
23273,30144,51138,post,
23279,30085,51001,post,
23263,30080,50964,post,
23415,29818,50406,post,
22723,28930,45909,post,
22700,29054,46066,post,
22706,29066,46042,post,
22699,29044,45981,post,
22699,29042,45948,post,
22701,29024,45928,post,
22701,28972,45905,post,
22604,29146,44381,post,
22583,29162,44356,post,
22520,29249,44188,post,
22456,29857,42906,post,
22453,29965,42776,post,
22457,29651,42616,post,
22440,29655,42558,post,
23251,30080,43394,post,
23274,30051,43438,post,
23203,28823,43762,post,
23369,29895,43235,post,
23338,29905,43202,post,
22629,29668,41650,post,
23340,29810,43190,post,
23322,29843,43182,post,
23337,29872,43190,post,
23346,29808,43193,post,
23270,29898,43074,post,
23291,29861,43123,post,
23194,29840,42928,post,
23172,29828,42901,post,
22648,29784,41435,post,
22664,29870,41391,post,
22656,29848,41391,post,
22613,29770,41397,post,
22594,29741,41381,post,
22420,29767,42056,post,
22782,36008,72128,post,
22846,39165,78518,post,
22832,38788,77952,post,
22841,38747,77890,post,
22838,38725,77852,post,
21791,29648,39694,post,
21753,29708,39733,post,
22948,29491,47063,post,
22992,29516,47033,post,
23875,36434,73655,post,
24033,41509,81744,post,
24058,41383,81600,post,
24050,41347,81509,post,
22817,38405,77747,post,
22711,29218,49787,post,
22886,29618,49374,post,
22854,29613,49611,post,
23264,30012,50431,post,
22792,29485,49479,post,
22833,29486,48872,post,
23120,29702,46398,post,
23163,29736,46342,post,
22960,29996,45231,post,
22633,28885,47585,post,
22657,28710,47527,post,
22734,29043,46570,post,
22360,29880,43935,post,
23450,28630,44685,post,
22071,29542,44026,post,
19718,28804,39043,post,
22648,28837,48051,post,
22645,28836,48007,post,
22646,28829,47967,post,
22644,28855,47746,post,
22527,28648,45035,post,
22509,28622,45031,post,
22647,28430,44944,post,
22699,29069,45464,post,
22653,29136,45413,post,
22702,29128,45404,post,
22907,30082,43582,post,
22952,30109,43515,post,
22962,30115,43474,post,
22763,29066,43987,post,
22796,29045,43986,post,
22721,30201,43014,post,
22679,30168,43016,post,
22430,29989,42630,post,
22617,30218,42802,post,
21580,30110,40181,post,
21751,29932,40191,post,
21686,29927,40157,post,
21746,29750,40168,post,
21583,30180,40225,post,
21583,30142,40200,post,
23129,30025,45051,post,
23429,29507,43150,post,
23419,29465,43188,post,
23213,28201,45464,post,
23214,28198,45436,post,
22884,28709,44113,post,
22750,29529,45783,post,
20577,29636,39851,post,
20551,29607,39814,post,
22715,29189,49738,post,
22997,28756,50147,post,
23251,28433,45412,post,
23206,30030,45359,post,
23400,29272,43780,post,
23393,29259,43779,post,
23490,29401,43666,post,
23474,29370,43689,post,
23482,29362,43647,post,
23391,29305,43588,post,
22720,28907,46722,post,
22722,28876,46691,post,
22722,28845,46714,post,
23291,30036,44422,post,
23350,29900,44534,post,
22813,28620,46167,post,
22820,28597,46167,post,
23083,30192,44287,post,
22555,29213,44106,post,
23133,27932,44327,post,
23403,29473,44962,post,
23051,28601,43951,post,
22053,29563,44030,post,
22623,29149,44108,post,
22644,29135,44108,post,
23404,29439,44929,post,
23403,29403,44923,post,
23403,29372,44929,post,
22887,28572,44074,post,
23076,30202,44306,post,
20686,29171,39270,post,
21519,29523,39936,post,
21925,29752,40381,post,
21892,29846,40289,post,
21898,29862,40289,post,
21245,29417,39615,post,
20911,29376,39402,post,
20946,29194,39388,post,
20871,29371,39350,post,
20896,29341,39346,post,
20745,29236,39275,post,
20725,29189,39276,post,
22801,31977,56409,post,
22807,31978,56388,post,
22794,31984,56454,post,
22798,31962,56359,post,
23062,32319,56997,post,
23177,30041,50512,post,
23155,30029,50433,post,
22955,29756,49759,post,
22922,29720,49743,post,
23012,29790,49683,post,
22987,28580,49749,post,
22977,28572,49705,post,
22969,28570,49682,post,
23106,29973,50178,post,
23233,29930,50166,post,
23013,29856,49947,post,
23166,30024,50424,post,
23182,30003,50374,post,
22827,29518,46446,post,
22823,29518,46426,post,
22780,29405,46431,post,
22740,29373,46043,post,
22731,29408,45961,post,
22733,29370,45993,post,
22728,29401,45877,post,
22736,29441,45858,post,
22719,29284,43224,post,
22760,29260,43234,post,
22821,29222,43190,post,
22453,29827,42905,post,
23377,29807,44697,post,
21273,30043,39975,post,
21218,30061,39961,post,
22902,29179,51749,post,
22688,29767,51316,post,
22689,29757,51298,post,
22766,29928,51257,post,
22773,29933,51218,post,
22683,29729,51501,post,
22775,29918,51194,post,
22725,29756,51096,post,
23222,29959,50221,post,
22895,29447,47873,post,
23088,29611,48656,post,
23036,29604,48671,post,
22811,29365,47250,post,
22761,29326,47450,post,
22744,29313,47422,post,
23069,30033,45035,post,
22953,30025,44829,post,
22253,29615,44168,post,
22798,29992,51295,post,
22857,30112,51251,post,
22928,30040,50834,post,
22955,30046,50797,post,
22943,30046,50747,post,
22926,29962,50564,post,
22895,29942,50596,post,
22883,29926,50556,post,
23132,29848,49454,post,
23133,29835,49414,post,
22905,29800,50087,post,
22983,29831,49946,post,
22868,29842,50392,post,
22849,29816,50401,post,
23084,29761,49100,post,
23108,29814,49275,post,
22813,29524,46244,post,
22799,29499,46214,post,
22781,29490,46019,post,
22845,29652,45917,post,
22847,29669,45862,post,
22323,29658,44150,post,
22285,29638,44152,post,
22411,29752,44151,post,
22370,29772,44123,post,
22071,29653,41006,post,
21841,30201,41381,post,
21942,30147,41272,post,
21896,30166,41258,post,
21903,30098,41233,post,
20406,28782,39195,post,
22103,29678,40896,post,
20921,29904,39937,post,
23345,31477,55669,post,
23254,31738,55942,post,
23114,32098,56507,post,
23444,30268,54386,post,
23451,30257,54349,post,
23070,29347,52555,post,
23034,29324,52516,post,
19613,28118,39619,post,
19598,28137,39597,post,
23072,32096,56500,post,
23039,32092,56479,post,
23067,32087,56474,post,
22988,32054,56352,post,
22884,30278,51880,post,
22881,30263,51681,post,
23069,29830,49677,post,
23037,29808,49691,post,
22936,29682,49295,post,
23026,29794,49671,post,
23204,29943,50125,post,
22589,29597,44512,post,
22591,29620,44498,post,
22241,29623,44082,post,
22336,29711,44117,post,
22302,29768,44018,post,
22338,30071,42091,post,
22333,30051,42041,post,
22396,30203,42143,post,
23509,28689,44709,post,
22760,29796,44917,post,
22532,29877,43351,post,
22836,30650,41597,post,
23408,29588,46357,post,
23411,29593,46327,post,
23441,29562,46322,post,
23463,29564,46270,post,
23442,29590,46242,post,
23470,29570,46209,post,
23504,29241,45571,post,
23489,29252,44478,post,
23500,29233,44440,post,
23015,30285,43969,post,
23482,29383,46028,post,
23484,29353,45951,post,
23473,29061,44322,post,
23475,29052,44324,post,
23430,29054,44303,post,
23001,30275,44063,post,
23478,29166,44258,post,
23457,29143,44260,post,
23463,29061,44294,post,
23435,29121,44261,post,
22089,29509,43896,post,
23485,29514,43185,post,
23482,29490,43188,post,
23430,29620,43062,post,
22001,29840,40453,post,
22006,29783,40486,post,
21982,29791,40442,post,
21989,29815,40442,post,
21966,29773,40423,post,
23780,28530,44998,post,
23582,35740,72486,post,
22544,29947,41006,post,
20222,28885,39099,post,
21714,29410,40013,post,
20425,28781,39214,post,
20234,28508,39448,post,
20195,28482,39463,post,
20031,28403,39229,post,
19996,28376,39427,post,
20785,28977,39105,post,
22889,29930,45351,post,
22699,29332,45718,post,
22693,28967,45917,post,
23085,30040,45054,post,
24009,29331,43445,post,
23535,29399,43393,post,
23502,29378,43374,post,
22689,30527,41288,post,
23341,29719,43195,post,
20647,28727,39643,post,
20573,28684,39580,post,
20936,29180,40168,post,
20218,28827,39104,post,
20193,28836,39098,post,
20203,28836,39099,post,
22921,28501,45007,post,
22255,28480,44851,post,
22637,29104,45417,post,
22828,28599,45329,post,
22698,29745,45203,post,
22672,29488,45406,post,
23068,28275,45329,post,
23174,28155,45410,post,
23159,28158,45426,post,
22686,28963,44351,post,
22588,29141,44307,post,
22699,29671,45305,post,
22358,29708,43834,post,
22359,29707,43833,post,
22325,29708,43846,post,
22930,28472,45287,post,
22913,28451,45243,post,
22588,28449,45108,post,
22530,29048,44286,post,
22588,29118,44280,post,
22276,29532,43864,post,
22298,29500,43881,post,
22306,29554,43848,post,
23591,29115,44935,post,
23343,29297,43674,post,
23211,29243,43665,post,
23328,29363,43626,post,
23320,29320,43651,post,
23315,29541,43260,post,
23313,29559,43230,post,
23217,29494,43168,post,
23207,29528,43127,post,
23174,29474,43110,post,
23181,30135,43010,post,
23164,29400,43198,post,
22784,30003,41512,post,
22772,30014,41479,post,
23144,30099,42727,post,
23225,30055,42725,post,
23192,30061,42729,post,
23168,30071,42710,post,
23156,30050,42905,post,
23127,30114,42752,post,
22745,29994,41432,post,
22687,29848,41467,post,
21004,29042,39665,post,
21001,29045,39626,post,
22422,30177,40878,post,
22415,30206,40869,post,
21104,29106,39930,post,
22271,30000,40737,post,
21021,29069,39686,post,
21515,29431,40089,post,
21495,29412,40107,post,
21006,29015,39708,post,
21015,28975,39717,post,
21930,29592,40509,post,
21895,29564,40488,post,
22533,30113,41027,post,
22550,30081,41060,post,
22531,30063,41041,post,
22513,30081,41011,post,
22490,30042,41002,post,
22392,29933,40934,post,
22390,29896,40976,post,
22143,29774,40766,post,
22148,29809,40766,post,
22410,29903,40996,post,
21062,29094,39955,post,
21934,29617,40436,post,
21806,29553,40374,post,
22810,29747,45565,post,
22817,29820,45362,post,
22752,29786,45225,post,
22808,29654,45788,post,
23329,35680,68259,post,
21046,28915,39704,post,
21045,28915,39707,post,
20703,29209,40192,post,
22886,30009,50731,post,
19657,28156,39619,post,
19653,28199,39598,post,
20795,29100,39153,post,
20872,29148,39021,post,
20631,28834,40081,post,
20650,28811,40081,post,
20634,28799,40064,post,
20621,28790,40045,post,
22956,32247,56921,post,
23002,32211,56782,post,
22951,32201,56835,post,
22981,32210,56821,post,
22979,32197,56784,post,
22987,32182,56693,post,
23041,30149,50902,post,
22977,30075,50763,post,
22970,30067,50735,post,
22980,30154,51048,post,
22959,29695,49240,post,
22990,30158,51002,post,
22947,29673,49207,post,
22955,29679,49194,post,
22777,29422,49156,post,
23276,29909,50143,post,
23251,29908,50127,post,
23240,29907,50082,post,
23227,29914,50074,post,
23409,29827,50238,post,
22745,29325,49089,post,
22745,29320,49060,post,
22877,29584,49095,post,
22997,29682,49011,post,
22761,29339,48723,post,
22766,29353,48102,post,
22756,29335,48070,post,
22688,29013,47177,post,
22652,29100,47610,post,
22649,29111,47569,post,
22393,30043,42371,post,
22393,29988,42368,post,
22548,29665,41870,post,
22510,29654,41990,post,
22535,29696,41714,post,
22390,29951,42374,post,
22623,29693,41418,post,
22433,29750,42009,post,
22795,29147,51460,post,
22815,29134,51482,post,
22280,30499,40950,post,
23031,32245,56833,post,
23053,32236,56792,post,
23022,32225,56790,post,
22938,29452,47163,post,
22881,29414,47204,post,
22880,29509,46717,post,
22676,29337,45539,post,
22672,29353,45541,post,
22901,29717,45957,post,
22913,29740,45925,post,
22723,29361,45920,post,
22704,29240,45894,post,
22702,29213,45882,post,
22631,30014,43306,post,
22556,29916,43339,post,
22637,29618,41975,post,
