pre_id,post_id,x,y,z,type
10002,45777501491,22879.0,32748.0,57825.0,pre
10002,40832056755,22934.0,30315.0,51630.0,pre
10002,40832056755,22961.0,30334.0,51627.0,pre
10002,40832056755,23380.0,29980.0,50886.0,pre
10002,40004271856,23420.0,29816.0,50363.0,pre
10002,36318126572,23010.0,29715.0,46296.0,pre
10002,36318126572,22987.0,29701.0,46293.0,pre
10002,32214452976,21302.0,30173.0,40268.0,pre
10002,31804065874,20754.0,29743.0,40044.0,pre
10002,31804065874,20821.0,29837.0,39998.0,pre
10002,31800483712,20681.0,29738.0,39887.0,pre
10002,31796869196,21302.0,30173.0,40268.0,pre
10002,189484,22804.0,28704.0,44044.0,pre
10002,189484,22922.0,28715.0,43878.0,pre
10002,170369,22368.0,29544.0,44158.0,pre
10002,170369,22344.0,29554.0,44142.0,pre
10002,170369,22348.0,29530.0,44130.0,pre
10002,167413,23125.0,28679.0,50131.0,pre
10002,166265,23396.0,28677.0,44678.0,pre
10002,166265,22596.0,29476.0,44662.0,pre
10002,166265,22598.0,29606.0,44556.0,pre
10002,166265,22584.0,29327.0,44655.0,pre
10002,166265,24009.0,29308.0,43425.0,pre
10002,166265,23943.0,29311.0,43403.0,pre
10002,166265,21037.0,29347.0,40258.0,pre
10002,164377,23071.0,29788.0,49248.0,pre
10002,164377,23092.0,29798.0,49220.0,pre
10002,164377,22978.0,29723.0,49266.0,pre
10002,164377,23097.0,29785.0,49156.0,pre
10002,164377,22770.0,29377.0,46445.0,pre
10002,164377,23386.0,29758.0,44671.0,pre
10002,164377,23372.0,29548.0,44663.0,pre
10002,164377,23381.0,29519.0,44647.0,pre
10002,164377,23415.0,29128.0,44581.0,pre
10002,164377,23418.0,29339.0,44636.0,pre
10002,164377,23415.0,29307.0,44641.0,pre
10002,164377,22706.0,30053.0,44269.0,pre
10002,164377,22729.0,29013.0,44459.0,pre
10002,164377,22748.0,28996.0,44449.0,pre
10002,164377,22476.0,29928.0,44013.0,pre
10002,164377,22459.0,29916.0,43995.0,pre
10002,164377,22502.0,29939.0,44036.0,pre
10002,164377,23388.0,29790.0,44686.0,pre
10002,164377,21978.0,29538.0,40681.0,pre
10002,163891,23084.0,28805.0,43741.0,pre
10002,163891,23115.0,28752.0,43744.0,pre
10002,163166,22765.0,30586.0,41631.0,pre
10002,155651,23229.0,38327.0,78165.0,pre
10002,155454,23084.0,30061.0,43587.0,pre
10002,155454,23269.0,29960.0,43574.0,pre
10002,155454,23290.0,29959.0,43557.0,pre
10002,155454,23265.0,29979.0,43555.0,pre
10002,155454,23268.0,29929.0,43588.0,pre
10002,155454,23288.0,29904.0,43585.0,pre
10002,155454,23307.0,29880.0,43585.0,pre
10002,155454,23398.0,29836.0,43471.0,pre
10002,155454,23424.0,29761.0,43441.0,pre
10002,155454,23440.0,29729.0,43430.0,pre
10002,155454,22851.0,28811.0,44046.0,pre
10002,155454,23038.0,28915.0,43856.0,pre
10002,154369,22686.0,28429.0,45022.0,pre
10002,153540,20384.0,28776.0,39913.0,pre
10002,153540,21207.0,30060.0,39976.0,pre
10002,153540,19739.0,28763.0,39028.0,pre
10002,153540,19765.0,28750.0,39024.0,pre
10002,153540,21297.0,30010.0,39934.0,pre
10002,153296,22848.0,30128.0,51289.0,pre
10002,153296,22969.0,30188.0,51235.0,pre
10002,153296,22868.0,30133.0,51237.0,pre
10002,153296,22886.0,30130.0,51202.0,pre
10002,153296,22986.0,30320.0,51547.0,pre
10002,153296,22920.0,30156.0,51173.0,pre
10002,152261,22868.0,29998.0,50778.0,pre
10002,152261,23071.0,30198.0,51133.0,pre
10002,152261,22783.0,29939.0,51154.0,pre
10002,152261,23261.0,29991.0,50364.0,pre
10002,152261,22715.0,29767.0,45187.0,pre
10002,152261,22977.0,29916.0,45730.0,pre
10002,152261,22387.0,29976.0,42426.0,pre
10002,152261,22746.0,30198.0,43065.0,pre
10002,152261,22588.0,30184.0,42789.0,pre
10002,152261,22663.0,30269.0,42718.0,pre
10002,152261,22653.0,30270.0,42688.0,pre
10002,141106,22728.0,28467.0,47739.0,pre
10002,139353,22804.0,28704.0,44044.0,pre
10002,105330,22764.0,36855.0,75109.0,pre
10002,102730,23008.0,29708.0,48893.0,pre
10002,102730,22999.0,29686.0,48935.0,pre
10002,102730,22986.0,29670.0,48893.0,pre
10002,102730,22967.0,29651.0,48843.0,pre
10002,102730,21841.0,30184.0,41317.0,pre
10002,102730,21828.0,30209.0,41325.0,pre
