x,y,z,type
32993,33541,32809,post
32984,33524,32784,post
24352,30117,40644,post
32426,34518,29226,post
32422,34521,29222,post
32396,34469,29211,post
32358,34473,29164,post
32422,34784,29172,post
32464,34949,29091,post
32524,34801,29103,post
32482,34777,29144,post
32467,34830,29132,post
32520,34837,29081,post
32478,34875,29091,post
32489,34791,28848,post
32383,34768,28765,post
32336,34870,28774,post
32378,34732,28837,post
32398,34704,28837,post
35436,27414,40858,post
35303,27426,40620,post
32389,34279,29019,post
32333,34341,29201,post
32351,34251,29084,post
35346,27344,40560,post
35516,26859,40851,post
35435,27068,40760,post
35584,26805,40825,post
35621,27207,40715,post
30415,34008,25177,post
30384,34163,25141,post
32099,33357,28780,post
31404,33458,28830,post
32077,31150,32724,post
31173,37332,27486,post
31190,37218,27466,post
31167,37079,27430,post
31081,37200,27283,post
31433,36755,27629,post
31190,36909,27452,post
31162,36688,27496,post
30990,36780,27244,post
31961,33338,29261,post
31948,33325,29284,post
32062,33277,28846,post
32105,33333,28784,post
31648,36206,27743,post
31495,36369,27703,post
35364,33411,37235,post
35320,33410,37200,post
35253,33457,37074,post
35256,33470,37078,post
30398,33886,25795,post
30422,33946,25800,post
30403,33944,25788,post
30208,34016,26160,post
30181,33938,26192,post
30309,34035,26093,post
30230,34040,26022,post
29910,34124,25880,post
29879,34171,25802,post
29880,34262,25738,post
29867,34255,25734,post
34091,33097,40302,post
34158,32947,40385,post
34176,32813,40319,post
34243,32891,40310,post
35506,33360,37058,post
35548,33377,37043,post
35253,33323,37291,post
35142,33291,37273,post
33474,33463,34739,post
32751,33730,31749,post
32756,33691,31513,post
32753,33721,31514,post
31754,35483,27664,post
31779,35513,27651,post
31769,35493,27664,post
31751,35487,27619,post
31620,35652,27543,post
31664,35614,27510,post
31665,35499,27500,post
31641,35494,27510,post
31329,35461,27369,post
31633,35622,27469,post
31630,35605,27460,post
31808,35390,27880,post
31537,35484,27339,post
31526,35482,27305,post
31643,35566,27305,post
31294,35725,27327,post
33125,31855,37387,post
33141,31766,37331,post
33222,31946,37174,post
30029,33893,26201,post
29950,33795,26214,post
31596,35585,27620,post
31594,35607,27630,post
31752,35611,27851,post
31710,35629,27732,post
31433,35293,27504,post
31533,35396,27243,post
36620,25020,40258,post
31220,38283,27982,post
31208,38300,27970,post
31205,38291,27958,post
34608,33415,39671,post
34610,33419,39670,post
34212,33497,39925,post
34296,32880,40058,post
34306,32881,40035,post
32680,34043,30502,post
30871,33348,27659,post
30600,33381,27652,post
30929,33327,28194,post
30925,33327,28178,post
30974,32962,28379,post
30936,33115,28351,post
30910,33314,28149,post
30715,33415,27395,post
30748,33365,27400,post
30743,33398,27374,post
30705,33464,27286,post
23172,29827,42842,post
26136,30460,39648,post
25457,30740,39612,post
26234,30146,39767,post
26182,30202,39759,post
25074,30024,39605,post
25181,29973,39515,post
31779,36143,28065,post
31677,36317,27864,post
31701,36251,27826,post
31678,36215,27790,post
34495,29065,39773,post
30612,33193,27518,post
30715,33361,27496,post
30744,33398,27489,post
30575,33337,27273,post
31945,35588,28027,post
31234,39441,28962,post
32768,33533,32341,post
32757,33530,32351,post
32595,34392,29720,post
32746,34628,29420,post
32537,34539,29507,post
30605,37138,26623,post
32036,35268,28265,post
32017,35267,28246,post
32012,35239,28251,post
32045,35222,28158,post
32078,35187,28170,post
32185,34978,28133,post
32168,34997,28097,post
32038,35267,28165,post
32164,34931,28192,post
32155,34918,28190,post
31996,35266,28116,post
31959,35169,28027,post
31935,35182,28030,post
33265,32621,35816,post
33264,32628,35817,post
33250,32612,35776,post
33236,32529,35755,post
32393,34187,30167,post
33441,32434,35644,post
33246,32369,35977,post
33338,32179,35959,post
34316,33454,39376,post
34337,33693,39191,post
32193,33633,29913,post
32185,33659,29872,post
32132,33708,29768,post
32149,33694,29778,post
34059,32817,39294,post
23275,30174,42543,post
35355,33923,36968,post
26550,30356,39116,post
26546,30363,39120,post
26579,30336,39091,post
26257,30511,39385,post
26316,30480,39361,post
26255,30513,39414,post
26237,30520,39443,post
26285,30478,39431,post
26265,30475,39467,post
26352,30432,39368,post
26331,30442,39394,post
25454,30358,39254,post
34512,33653,36611,post
25809,29887,39384,post
25825,29883,39027,post
25988,29864,39049,post
26016,29859,38985,post
26196,29821,39008,post
25332,29917,39473,post
25346,29914,39455,post
25477,30265,39210,post
34253,33610,36529,post
25537,29911,39133,post
25511,29906,39111,post
25610,29902,39154,post
33076,29733,39399,post
28112,29747,39040,post
26915,29417,39081,post
26859,29386,39062,post
33887,29251,39498,post
33701,29205,39422,post
33777,29314,39450,post
33008,29665,39171,post
35109,33218,36894,post
32493,32253,29591,post
32393,32283,29495,post
32375,32291,29507,post
31281,38981,28622,post
31299,38972,28604,post
31253,38750,28463,post
