x,y,z,type,bodyId_post
18139,23592,48088,post,
18091,23626,48054,post,
16246,24015,45840,post,
24853,25954,50981,post,
23955,25978,50705,post,
24855,25954,50977,post,
24753,25928,50988,post,
23202,25390,50054,post,
23998,26002,50677,post,
24718,23285,47702,post,
25047,22686,47575,post,
25066,22670,47553,post,
24688,22651,47551,post,
24665,22684,47535,post,
25073,22648,47535,post,
24692,22639,47550,post,
24721,22661,47481,post,
24723,22671,47482,post,
25081,22667,47438,post,
25874,23356,48380,post,
25148,23929,46642,post,
19097,20924,48165,post,
19092,20946,48160,post,
22973,24498,49251,post,
21033,21525,47916,post,
20002,23222,47683,post,
19996,23235,47665,post,
21831,22086,47761,post,
22514,24426,48552,post,
19780,21375,47197,post,
19279,21287,47873,post,
19785,21285,47146,post,
20526,22141,48611,post,
19972,22066,48544,post,
20552,22104,48450,post,
20550,22104,48450,post,
20063,22096,48502,post,
20447,22061,48454,post,
19945,21992,48553,post,
18126,20870,48623,post,
18018,20953,48560,post,
19161,20812,48515,post,
17940,20794,48552,post,
17941,20801,48454,post,
17961,20767,48473,post,
19097,20880,48457,post,
22492,23886,47460,post,
22492,23897,47464,post,
22516,23085,48054,post,
22507,23076,48043,post,
15569,22352,46225,post,
15639,22360,46212,post,
16227,23635,47601,post,
16193,21745,46112,post,
21954,22684,47381,post,
19770,21364,47059,post,
16260,21797,46044,post,
21198,20023,44557,post,
24472,19392,44661,post,
19204,20496,45253,post,
19198,20490,45211,post,
18288,21031,45190,post,
20896,20804,43621,post,
26320,23204,46787,post,
24866,23873,45711,post,
24874,23875,45709,post,
24851,23847,45732,post,
23522,21782,44875,post,
23522,21771,44877,post,
22567,24196,48846,post,
22573,24225,48964,post,
22571,24228,48961,post,
19412,22646,48931,post,
19407,22620,48931,post,
19568,22311,48978,post,
19786,21619,48352,post,
18999,21500,48951,post,
19057,21529,48243,post,
19454,21628,48906,post,
19711,21979,48876,post,
19663,21749,48830,post,
25015,22769,48030,post,
18858,23113,48487,post,
25677,22836,47836,post,
19575,22806,47836,post,
25701,22901,47800,post,
19513,22757,47840,post,
27187,23511,47385,post,
22305,21741,47249,post,
24813,21705,47345,post,
24708,21665,47320,post,
21207,21328,47725,post,
21188,21361,47711,post,
19205,21080,47227,post,
25008,22743,47398,post,
19292,20878,47320,post,
20868,20830,47254,post,
20781,20778,47147,post,
19029,22988,48445,post,
22249,22724,48497,post,
24898,21907,47581,post,
19872,21941,48524,post,
24888,24096,46613,post,
18543,21004,48582,post,
18594,21071,48491,post,
20689,21109,46431,post,
20617,21165,46359,post,
18689,20899,46423,post,
21933,22690,48341,post,
21923,22682,48335,post,
25157,24127,46264,post,
25268,22801,48353,post,
25875,24385,47165,post,
28370,23923,47475,post,
25826,24322,47160,post,
24692,24013,46329,post,
24678,23969,46327,post,
26495,24423,47127,post,
22770,23923,47397,post,
22663,23869,47374,post,
28315,23777,47716,post,
28315,23779,47712,post,
26146,24361,47012,post,
26037,24390,46914,post,
20677,21823,48251,post,
25903,24375,46917,post,
16179,22727,46150,post,
24651,23854,45641,post,
27143,21890,46758,post,
20921,21411,46736,post,
24254,23338,45762,post,
25661,21670,47067,post,
24360,23316,45702,post,
26210,21724,47017,post,
26442,21652,46994,post,
26189,21657,46979,post,
25436,24151,45985,post,
19731,20734,44852,post,
16441,22524,45963,post,
18661,20813,46317,post,
25895,22926,45808,post,
26018,23038,45778,post,
23698,23530,47144,post,
25770,19580,44995,post,
25785,19527,44887,post,
25745,19566,44809,post,
24205,23694,47176,post,
27135,21879,46866,post,
26815,21811,46895,post,
24484,22978,47249,post,
25335,22852,46037,post,
16215,22815,46034,post,
25504,22773,45965,post,
25387,22754,46011,post,
26560,23700,46464,post,
18111,20994,45618,post,
24577,23258,45180,post,
18480,20790,45623,post,
18550,20895,46030,post,
25758,19468,44735,post,
23723,21766,45565,post,
23718,21769,45562,post,
23807,21700,45097,post,
23747,21727,45109,post,
23689,21690,45100,post,
19869,20738,45263,post,
19935,20761,45219,post,
18458,20248,45177,post,
22714,20309,44450,post,
22870,20276,44432,post,
25759,19213,44339,post,
23727,21711,44912,post,
19744,20796,44880,post,
22257,21818,47172,post,
24196,21756,43637,post,
24296,19410,44016,post,
24276,19416,44017,post,
24208,19337,44028,post,
22213,24438,49015,post,
21335,23933,48730,post,
23851,25034,50420,post,
21618,24083,48877,post,
23862,25104,50437,post,
22935,24704,49815,post,
25538,25368,49922,post,
22143,24337,49199,post,
22929,24463,49828,post,
22864,24464,49774,post,
29934,24081,48097,post,
27839,24681,47800,post,
26229,24214,47022,post,
28499,24642,48050,post,
26238,24222,47017,post,
25965,24252,46927,post,
27058,24204,47689,post,
27027,24218,47661,post,
25322,24301,46466,post,
25205,24228,46395,post,
21693,21737,48168,post,
16111,22842,46186,post,
18202,20792,45243,post,
18198,20789,45241,post,
25673,25478,49960,post,
23740,24919,50020,post,
25104,25146,50012,post,
25100,25144,50017,post,
24943,25104,50256,post,
22164,24175,48944,post,
25536,25322,49915,post,
22231,24368,49291,post,
23200,24523,49691,post,
18672,23600,48490,post,
19020,23539,48600,post,
18789,23549,48500,post,
25077,21780,47285,post,
20463,23234,48285,post,
20455,23230,48271,post,
27798,23902,46600,post,
25208,21911,47507,post,
18348,23904,48291,post,
18193,24013,48227,post,
18142,24051,48169,post,
18083,24120,48203,post,
18786,23601,48298,post,
28004,23536,46713,post,
26374,24392,47040,post,
26213,24200,46955,post,
26360,24105,46898,post,
26232,24212,46866,post,
26270,24128,46863,post,
26748,24708,47170,post,
26126,21806,47054,post,
26130,21808,47053,post,
27789,23913,46575,post,
25077,21780,47297,post,
25323,21976,47238,post,
26099,21880,47138,post,
28469,24089,46567,post,
24374,18902,44428,post,
28370,24200,47234,post,
22471,24379,48916,post,
17292,24674,48714,post,
17287,24663,48682,post,
19377,21256,48914,post,
21307,21985,48100,post,
25590,22971,47994,post,
25500,22943,48036,post,
21061,22774,47906,post,
24505,21704,48040,post,
21050,21623,47962,post,
27793,23314,47534,post,
27570,23536,47444,post,
27610,23454,47457,post,
16838,24500,48566,post,
20963,21005,47297,post,
20872,20975,47322,post,
20921,20919,47328,post,
20942,20907,47354,post,
18098,23228,48273,post,
19596,22473,48532,post,
26638,23762,47820,post,
29480,22969,46322,post,
29499,22991,46209,post,
24328,22011,48260,post,
21352,21946,48132,post,
24555,21888,48158,post,
21292,21916,48133,post,
24545,21877,48174,post,
28195,22825,46991,post,
29491,23079,46182,post,
28170,22826,46973,post,
16687,23864,47248,post,
22609,22342,47030,post,
28374,23221,47355,post,
28378,23222,47355,post,
28360,23212,47323,post,
28377,23209,47311,post,
19262,20850,44709,post,
24534,19368,44512,post,
24485,19284,44461,post,
24470,19293,44465,post,
24430,19281,44450,post,
24432,19283,44452,post,
24383,19211,44372,post,
25907,19392,44351,post,
25906,19393,44351,post,
25873,19366,44323,post,
25783,19342,44242,post,
25887,19557,43829,post,
25768,19563,43821,post,
26397,23012,42867,post,
20651,20981,43447,post,
20656,20952,43513,post,
19148,21637,48381,post,
20785,22539,47579,post,
20020,22214,48643,post,
19943,22247,48581,post,
21084,23020,48261,post,
22666,24303,49046,post,
22694,24289,48947,post,
22691,24285,48944,post,
19785,21681,48895,post,
25553,23457,48969,post,
18765,21369,49076,post,
18827,21330,49025,post,
19276,20977,48309,post,
19252,20975,48290,post,
19076,21555,49125,post,
19818,21679,48930,post,
22378,24274,48664,post,
22375,24273,48659,post,
19864,21769,48906,post,
17084,24315,48546,post,
17172,24205,48418,post,
17144,24217,48426,post,
25223,22659,47936,post,
20790,22117,48695,post,
22010,22539,47942,post,
19917,23098,48585,post,
19892,23088,48613,post,
19563,23078,47692,post,
19563,23076,47693,post,
19636,23066,47662,post,
19644,23068,47661,post,
19529,22848,47870,post,
24467,22967,47649,post,
24463,22961,47631,post,
22016,22613,47837,post,
22041,22583,47805,post,
22686,22544,47779,post,
22692,22546,47772,post,
22705,22590,47770,post,
22695,22544,47762,post,
22001,22590,47758,post,
24247,22978,47425,post,
24240,22982,47425,post,
24252,22970,47425,post,
19561,20986,48664,post,
24635,22240,47760,post,
24627,22219,47750,post,
24610,22172,47746,post,
22446,24395,48513,post,
22453,24389,48497,post,
22421,24424,48469,post,
17067,24345,48526,post,
17295,24347,48423,post,
17280,24334,48411,post,
17212,24394,48400,post,
24858,21683,47714,post,
19140,23462,48371,post,
19144,23465,48366,post,
19101,23459,48359,post,
19074,23452,48342,post,
25107,23396,48317,post,
24065,21126,47406,post,
21279,22679,48613,post,
21272,22683,48580,post,
21343,22655,48518,post,
21355,22665,48497,post,
21330,22629,48524,post,
21292,22659,48573,post,
21295,22736,48480,post,
21326,22706,48471,post,
20034,20388,47251,post,
19609,20895,47691,post,
19702,20969,47701,post,
19931,20374,47229,post,
24993,23212,48149,post,
20784,22099,48631,post,
24725,21853,47438,post,
17079,24269,48383,post,
19615,20892,47551,post,
20152,21761,48457,post,
25076,24292,46809,post,
17136,24372,48337,post,
17126,24385,48348,post,
25973,23757,48192,post,
19912,21693,48444,post,
19549,20933,48541,post,
19514,20945,48505,post,
26661,24679,47086,post,
26668,24683,47079,post,
16474,24422,47863,post,
16476,24435,47868,post,
16511,24451,47854,post,
16518,24438,47836,post,
22167,23000,48197,post,
27861,24422,47187,post,
27849,24418,47187,post,
24661,22291,48280,post,
24827,24052,46190,post,
24802,23890,46148,post,
24811,23899,46146,post,
24670,22273,48179,post,
16957,23604,47677,post,
24665,22259,48170,post,
24667,22262,48167,post,
24564,22201,48143,post,
25483,24356,46898,post,
28372,24292,46941,post,
25699,23718,45916,post,
25703,23705,45916,post,
27141,23587,47072,post,
18614,23320,48020,post,
27085,23551,47102,post,
18513,23186,48075,post,
18644,23280,48046,post,
24749,24045,46057,post,
18524,23191,48030,post,
18548,23206,47989,post,
18559,23196,47968,post,
18568,23201,47964,post,
25513,22862,47024,post,
29732,24040,47698,post,
22815,23816,47696,post,
22814,23803,47648,post,
22791,23805,47624,post,
25644,21597,47096,post,
23991,23161,44624,post,
24057,23074,44574,post,
19603,20698,44859,post,
19594,20643,44810,post,
27059,23525,47116,post,
25630,21499,47000,post,
25624,21495,46988,post,
28531,23019,47246,post,
28530,22997,47242,post,
24711,21857,47305,post,
21387,21932,47225,post,
21382,21918,47235,post,
24719,21893,47276,post,
21387,21877,47265,post,
21397,21966,47212,post,
21389,21925,47207,post,
25284,23740,46481,post,
25246,23764,46491,post,
25252,23757,46490,post,
19960,20318,47102,post,
19957,20323,47097,post,
21181,21284,43136,post,
21263,21276,43059,post,
21196,21302,43099,post,
21174,21281,43062,post,
24169,23110,44888,post,
24106,23219,44841,post,
24229,23096,44859,post,
24108,23127,44834,post,
20950,20505,44430,post,
23758,22958,43870,post,
23770,23039,43785,post,
23773,22956,43817,post,
22855,20193,44340,post,
23745,23018,43924,post,
26056,19636,44310,post,
23499,22867,43449,post,
26088,19638,44189,post,
19539,20821,44939,post,
24117,19834,44245,post,
26502,23168,43050,post,
26594,23144,43023,post,
21558,22238,43133,post,
17875,24303,48890,post,
21929,24076,48778,post,
19773,22739,49026,post,
19759,22742,49030,post,
19256,20681,48215,post,
21244,21751,48126,post,
22009,22253,48095,post,
