x,y,z,type,bodyId_post
20196,20018,44889,post,
21265,20011,44269,post,
23695,25410,51295,post,
23729,25326,51270,post,
23764,25293,51296,post,
23766,25221,51279,post,
19599,22592,48977,post,
25580,23748,45762,post,
25495,23641,45833,post,
25703,23755,45442,post,
23799,22300,45308,post,
23541,22478,45142,post,
24579,22406,45530,post,
22468,21860,45376,post,
22478,21831,45327,post,
16370,21563,46009,post,
16374,21565,45996,post,
22612,24481,48765,post,
21414,22174,48344,post,
20919,21942,48017,post,
21104,21789,48056,post,
20917,21942,47975,post,
20175,21738,48223,post,
20201,21716,48021,post,
20123,21841,48158,post,
20163,21825,48147,post,
24292,21505,48339,post,
24547,22387,48401,post,
19536,21392,48564,post,
19468,21401,48574,post,
19503,21406,48453,post,
19400,21370,48369,post,
19322,21288,48354,post,
20743,21779,48442,post,
29309,25499,47535,post,
29312,25493,47475,post,
29107,25532,47476,post,
27050,24080,47015,post,
22249,23635,47174,post,
26986,23256,46967,post,
27136,23588,47359,post,
27106,23603,47304,post,
22385,21736,46973,post,
22384,21757,46953,post,
19562,23102,47280,post,
19559,23101,47242,post,
24110,23112,44755,post,
25788,21234,47265,post,
22937,20333,44538,post,
19338,20737,44353,post,
19331,20731,44359,post,
19739,20896,44693,post,
29426,25170,46753,post,
29410,25189,46709,post,
28294,23903,46211,post,
27289,23838,46629,post,
27264,23847,46615,post,
27191,23810,46466,post,
27150,23806,46577,post,
25733,22993,45863,post,
25696,22983,45879,post,
25653,22987,45880,post,
25256,20940,46257,post,
25244,21034,46282,post,
24844,21751,46272,post,
24837,21696,46243,post,
20468,20681,44211,post,
25077,20404,44459,post,
19957,20636,44123,post,
19822,20641,44163,post,
21494,21105,43765,post,
21474,21025,43612,post,
16177,23095,48502,post,
20425,22192,48913,post,
20480,22195,48902,post,
20475,22208,48873,post,
21426,22341,48284,post,
21462,22208,48377,post,
21414,22171,48348,post,
21366,22221,48298,post,
20224,21269,47457,post,
20247,21263,47445,post,
20259,21262,47440,post,
20192,21291,47461,post,
20278,21256,47428,post,
20260,21752,48277,post,
20195,21710,48184,post,
20149,21819,48137,post,
20084,21935,47876,post,
20107,21965,47779,post,
20109,21847,48138,post,
20619,22212,47289,post,
27585,24952,47399,post,
22991,24544,47388,post,
22981,24543,47382,post,
26812,24183,47773,post,
26861,24199,47732,post,
16658,24029,47394,post,
16629,23996,47340,post,
27171,22974,47397,post,
27116,23001,47274,post,
19368,22881,47889,post,
19228,22921,47871,post,
19283,22803,47847,post,
25649,22091,48295,post,
25603,22137,48247,post,
24959,21875,47622,post,
22179,22009,47373,post,
22179,22009,47372,post,
22249,21958,47270,post,
20456,21504,47487,post,
20385,21404,48166,post,
19401,21147,47275,post,
27304,25074,47220,post,
27289,23840,46645,post,
26531,23726,46448,post,
23154,23107,47010,post,
23218,23144,47150,post,
24251,22888,47247,post,
24232,22832,47206,post,
24362,23177,46232,post,
24820,23290,46951,post,
23926,23432,46409,post,
24056,23273,46391,post,
25380,22798,45955,post,
22517,21921,47038,post,
22489,21956,47023,post,
25366,21171,46495,post,
20799,20675,44200,post,
20802,20655,44201,post,
20868,20619,44145,post,
20807,20696,44093,post,
25337,21777,48072,post,
25345,21765,48052,post,
25999,21300,46847,post,
24173,18931,43754,post,
26236,19430,44334,post,
26342,19510,44373,post,
26313,19408,44120,post,
24652,19174,44176,post,
24585,19175,44197,post,
24549,19170,44205,post,
24298,19052,44062,post,
24664,18756,43887,post,
24633,18742,43887,post,
24597,19193,43992,post,
25827,19677,43860,post,
19626,22649,47607,post,
18811,23834,48760,post,
20293,21078,48185,post,
20288,20979,48155,post,
20369,20976,48182,post,
21114,21743,47958,post,
21215,21787,47863,post,
19646,21039,47131,post,
19777,20809,47237,post,
20979,20784,47241,post,
19837,20757,47210,post,
20983,20710,47261,post,
21038,20610,47240,post,
20984,20725,47188,post,
22735,23507,48062,post,
19065,20601,44838,post,
19554,21144,47064,post,
19589,21013,47027,post,
19079,20556,44757,post,
21090,20125,44167,post,
21910,20278,43708,post,
21867,20163,43765,post,
22644,21947,46353,post,
22635,21955,46342,post,
24009,22604,46086,post,
23493,22477,46214,post,
23444,22420,46170,post,
23344,22417,46139,post,
22577,21962,46282,post,
22622,21843,46281,post,
22621,21834,46275,post,
22605,21885,46134,post,
23579,22125,46297,post,
23559,22115,46301,post,
20640,22723,44784,post,
20640,22740,44737,post,
21772,22627,44676,post,
21748,22623,44677,post,
23267,22023,45971,post,
23277,22163,45874,post,
24039,22618,46078,post,
23716,22653,46037,post,
23703,22641,46034,post,
24071,22582,45886,post,
23998,22594,45865,post,
22629,22422,45067,post,
21035,22340,45078,post,
22701,22466,45064,post,
22707,22460,45064,post,
21274,22339,45055,post,
21035,22409,45011,post,
21561,22456,44802,post,
22512,22634,44938,post,
22553,22546,44977,post,
22439,22684,44897,post,
21222,22260,45051,post,
28388,23887,47897,post,
28710,21910,47139,post,
28681,21906,47141,post,
24793,21014,44766,post,
22480,21666,45534,post,
27465,25012,47876,post,
25186,20493,45728,post,
25190,20441,45641,post,
20782,19908,45706,post,
22856,19304,45517,post,
20105,22783,45793,post,
24486,19832,43095,post,
21387,23761,48742,post,
22204,24440,49408,post,
23411,25087,49345,post,
23383,25070,49367,post,
20254,22983,48565,post,
19945,22758,48284,post,
19876,22673,48162,post,
20038,22622,48185,post,
20623,22886,48330,post,
20549,22970,48290,post,
19958,22927,48298,post,
20632,22948,48219,post,
20073,22919,48230,post,
26217,23045,45394,post,
26213,23041,45375,post,
24366,22495,45855,post,
24277,22527,45902,post,
24142,22526,45849,post,
24874,22757,45593,post,
24039,22464,45709,post,
23198,22305,45718,post,
23198,22310,45713,post,
22949,22309,45665,post,
22925,22312,45649,post,
22155,22168,45457,post,
21466,22393,44906,post,
23524,25274,50031,post,
23507,25187,50031,post,
26113,25583,49152,post,
20942,23596,48675,post,
20485,23122,48503,post,
21645,24128,49187,post,
18816,23978,49316,post,
19792,21532,47257,post,
17055,24886,49488,post,
19966,23213,48308,post,
20022,23231,48267,post,
20121,23076,48280,post,
27461,24399,47867,post,
25510,23026,46329,post,
22900,22395,46852,post,
22898,22408,46871,post,
22387,22097,47089,post,
22471,22189,47043,post,
21610,22076,46879,post,
21598,22069,46879,post,
20554,21766,47070,post,
20363,22890,45443,post,
24966,24678,46363,post,
18797,23556,48797,post,
28155,22995,47573,post,
28138,22995,47580,post,
21908,22441,48239,post,
22597,20492,46743,post,
16110,21755,46041,post,
24588,21909,48102,post,
24583,21878,48070,post,
24607,22030,48129,post,
24120,22613,46894,post,
