x,y,z,type,bodyId_post
21237,20058,44373,post,
21280,19994,44277,post,
24688,20872,41680,post,
25701,23804,45193,post,
23490,22477,45130,post,
23635,22336,45053,post,
22802,22010,45841,post,
16323,21548,46085,post,
16359,21545,46033,post,
16390,21565,45996,post,
16464,21529,45995,post,
22695,24515,48772,post,
21455,22170,48387,post,
21473,22183,48387,post,
21107,21879,48041,post,
20177,21755,48240,post,
20261,21813,48002,post,
20186,21898,48200,post,
20198,21791,48245,post,
24282,21507,48348,post,
24409,22086,48459,post,
19533,21382,48586,post,
19385,21365,48369,post,
19356,21345,48318,post,
19337,21329,48351,post,
20678,21793,48397,post,
26927,23255,47064,post,
26991,23255,46989,post,
27089,23626,47326,post,
16768,23279,46854,post,
22549,21885,46946,post,
22547,21886,46959,post,
19585,23095,47280,post,
19578,23101,47228,post,
28053,23855,46415,post,
23978,23214,44593,post,
25803,21256,47293,post,
25981,21134,44635,post,
25876,21099,44633,post,
25866,21082,44625,post,
25989,21122,44535,post,
22991,20325,44447,post,
22940,20204,44456,post,
23303,20369,44196,post,
23295,20365,44201,post,
19338,20752,44353,post,
19336,20749,44359,post,
19400,20689,44284,post,
19477,20692,44427,post,
19427,20681,44473,post,
15714,24256,46141,post,
15634,24252,46064,post,
15747,24279,45978,post,
27368,23830,46445,post,
24821,23518,46814,post,
25010,23646,46061,post,
24792,23576,46850,post,
25650,22875,45782,post,
20397,21029,46972,post,
20365,21030,46897,post,
25148,20296,42331,post,
24426,20969,44374,post,
20461,20657,44171,post,
21494,21016,43612,post,
20425,22347,48958,post,
20417,22309,48940,post,
20393,22233,48907,post,
20394,22233,48906,post,
20461,22249,48872,post,
21468,22195,48393,post,
21388,22165,48348,post,
25852,23664,47516,post,
19778,20552,45956,post,
19779,20556,45951,post,
19791,20538,45940,post,
19790,20538,45941,post,
19507,20493,45574,post,
19409,20561,45115,post,
19387,20570,45140,post,
19359,20558,45178,post,
19396,20562,45114,post,
26897,24190,47732,post,
16649,24010,47373,post,
16384,24346,47609,post,
16478,24244,47636,post,
16411,24319,47682,post,
16637,24001,47357,post,
16419,24156,47610,post,
25655,22121,48182,post,
25528,22182,47824,post,
25456,22454,48448,post,
25486,22417,48379,post,
25419,22385,48375,post,
24853,21872,47562,post,
24855,21804,47534,post,
20387,21425,48174,post,
19467,21074,47406,post,
19454,21077,47397,post,
27358,23788,46859,post,
27311,23835,46816,post,
24424,23443,46375,post,
24450,23413,46789,post,
24411,23546,46436,post,
24362,23546,46421,post,
24437,23458,46381,post,
24813,23289,46923,post,
23889,23443,46409,post,
24110,23237,46423,post,
24062,23262,46391,post,
25140,23781,45805,post,
25043,23724,45748,post,
25028,23716,45697,post,
25349,22616,46014,post,
22629,21881,46743,post,
22603,21901,46892,post,
22614,21907,46883,post,
16436,22027,46461,post,
16059,22223,46451,post,
25479,21323,46524,post,
25375,21316,46580,post,
20425,20123,46279,post,
20795,20692,44164,post,
20797,20642,44200,post,
20836,20696,44079,post,
20859,20742,44012,post,
25309,21751,48017,post,
25801,21656,47874,post,
23995,24375,48130,post,
24671,19200,44188,post,
24523,19174,44205,post,
24494,19146,44177,post,
24252,19099,44123,post,
25752,19022,43958,post,
25804,19659,43774,post,
25366,23487,48146,post,
25365,23481,48143,post,
25374,23480,48137,post,
20314,21009,48272,post,
20271,21041,48226,post,
20264,20992,48164,post,
21651,21704,48230,post,
21698,21709,48165,post,
21089,21847,47906,post,
21095,21849,47909,post,
22118,22290,47927,post,
21666,21605,48073,post,
22017,22089,47896,post,
22994,21183,47897,post,
22557,20959,48116,post,
21090,21827,47862,post,
19909,20844,47325,post,
19851,20849,47278,post,
19791,20837,47237,post,
20986,20776,47249,post,
19865,20757,47219,post,
21050,20613,47219,post,
19871,20243,47724,post,
20091,20190,47661,post,
17012,24114,47888,post,
20449,21226,46445,post,
20451,21220,46414,post,
20448,21223,46403,post,
15659,23405,46948,post,
19145,20504,45022,post,
19072,20586,44862,post,
18982,20479,44833,post,
18992,20467,44834,post,
19541,21141,47064,post,
19521,21059,47019,post,
21206,20580,47078,post,
21152,20563,47054,post,
19249,21122,45630,post,
21079,20379,44258,post,
19787,20324,44274,post,
24183,18902,43856,post,
24133,18936,43875,post,
24228,18775,43849,post,
24338,18707,43891,post,
21840,20155,43745,post,
21833,20135,43725,post,
21786,19845,43635,post,
21780,19884,43569,post,
21703,20979,43481,post,
22630,21959,46530,post,
23652,22555,46099,post,
22581,21768,46789,post,
23300,22379,46098,post,
22570,21946,46326,post,
22503,21898,46309,post,
23377,21959,46192,post,
23498,22485,45856,post,
23299,22390,45895,post,
23292,22389,45895,post,
23428,22469,45819,post,
23210,22022,45971,post,
23322,22092,45941,post,
23196,22069,45940,post,
23193,22085,45914,post,
23764,22620,46003,post,
23719,22657,46050,post,
28686,21877,47142,post,
19587,20932,47317,post,
26923,24838,47198,post,
26796,24734,47178,post,
24674,20302,45695,post,
22103,24397,49287,post,
23680,24980,49393,post,
22005,24294,49267,post,
20238,23000,48565,post,
19908,22667,48148,post,
20095,22879,48258,post,
15127,25554,45991,post,
15185,24740,45721,post,
15321,23140,45767,post,
15273,23144,45756,post,
15311,23107,45760,post,
16053,22618,45781,post,
16675,21725,45767,post,
18092,20899,45614,post,
18379,20756,45955,post,
18487,20050,45195,post,
18544,19968,45141,post,
26186,23136,46449,post,
25911,23136,46495,post,
26179,23130,46443,post,
25832,23108,46433,post,
17788,23162,48272,post,
25418,23500,45010,post,
24576,25409,49846,post,
21772,24072,49281,post,
19835,21405,47190,post,
18989,20931,47580,post,
23199,22335,46836,post,
22791,22322,46797,post,
23179,22398,46732,post,
20772,21882,47069,post,
20768,21892,47055,post,
20675,21854,47061,post,
25612,24506,46401,post,
17777,23865,48854,post,
19498,21006,48290,post,
18816,23546,48797,post,
19527,20982,48375,post,
19622,20807,48354,post,
19505,20997,48293,post,
20709,22957,48871,post,
21107,23618,48622,post,
17261,24311,49306,post,
17140,24317,49217,post,
19855,20201,47316,post,
19982,20289,47769,post,
19969,20295,47757,post,
15658,24842,46770,post,
19908,20104,47448,post,
19504,20230,46342,post,
22269,22367,48298,post,
22468,21173,48331,post,
22464,21162,48330,post,
15939,22404,46623,post,
15957,23575,46998,post,
15157,25618,46021,post,
17662,23078,48078,post,
19513,20172,46254,post,
24642,22210,48116,post,
24636,22123,48193,post,
25683,23054,46371,post,
25466,23257,48435,post,
25474,23260,48427,post,
18812,23527,48721,post,
18793,23500,48681,post,
