x,y,z,type,bodyId_post
20620,32380,35380,post,
20189,33456,41363,post,
20286,33267,41260,post,
22714,30886,41288,post,
22713,30879,41283,post,
23063,30727,41885,post,
23055,30724,41875,post,
20588,35279,46897,post,
20628,35234,46898,post,
20502,35261,46940,post,
20569,35316,46883,post,
19680,35575,46854,post,
19774,35608,46919,post,
21705,33973,46905,post,
21417,33824,44921,post,
21375,33807,44830,post,
21569,33739,44842,post,
20376,34008,44523,post,
21644,33232,44336,post,
21763,33142,44307,post,
19311,33334,44509,post,
22544,31503,41987,post,
18146,36018,47066,post,
21481,32786,40828,post,
21445,34152,46034,post,
21529,34132,46132,post,
22571,31749,41640,post,
22551,31768,41645,post,
22508,31792,41559,post,
22505,31786,41516,post,
19021,33214,44443,post,
18975,33197,44443,post,
22124,31887,40111,post,
22227,31027,40507,post,
22217,31017,40492,post,
21469,30288,40176,post,
21547,30287,40206,post,
21592,30258,40219,post,
21561,30231,40199,post,
20948,30129,40191,post,
20995,32894,40138,post,
21005,32836,40087,post,
20964,32768,40048,post,
20732,32309,39792,post,
20726,32282,39770,post,
20714,32285,39773,post,
22236,31575,39921,post,
19391,35877,47308,post,
19300,35883,47425,post,
19321,35897,47407,post,
22405,31788,39912,post,
22409,31775,39876,post,
22547,31764,39790,post,
22519,31769,39758,post,
20895,30012,39792,post,
20912,30022,39751,post,
20857,29994,39802,post,
20821,29985,39773,post,
20861,30004,39744,post,
20657,29811,39840,post,
20683,29755,39866,post,
21350,30217,40146,post,
21317,30197,40143,post,
21242,30171,40103,post,
21216,30156,40085,post,
21307,30192,40243,post,
21819,34447,47470,post,
21700,34036,47544,post,
21722,34095,47424,post,
21643,34217,47494,post,
21637,34200,47482,post,
21612,34237,47477,post,
21528,34068,47299,post,
21450,34096,47291,post,
21487,34098,47280,post,
21469,34079,47263,post,
21405,31805,37070,post,
22031,34323,46707,post,
21950,34261,46736,post,
21639,33986,46255,post,
21758,33952,46361,post,
21749,33865,46357,post,
20789,33038,40165,post,
20790,33030,40169,post,
23313,30941,42453,post,
23325,30936,42433,post,
23191,30973,42454,post,
23182,31048,42733,post,
20932,31139,36072,post,
20695,29879,39693,post,
20521,29759,39574,post,
20722,29952,39738,post,
20880,33143,41070,post,
22358,32564,44864,post,
22361,32564,44867,post,
20608,32025,35274,post,
20501,32161,35152,post,
18166,36338,47475,post,
19663,35780,47163,post,
20772,35700,48232,post,
20902,35115,46527,post,
18503,35710,46764,post,
20526,35842,47981,post,
20060,35940,47898,post,
21697,34142,46576,post,
21211,35394,47051,post,
21164,35432,46981,post,
18416,33238,44619,post,
18641,35311,46307,post,
18609,35298,46312,post,
21812,34207,46659,post,
21713,34116,46694,post,
21813,34240,46635,post,
22098,34095,45295,post,
22077,34115,45394,post,
18560,33601,44452,post,
22143,34332,45505,post,
20704,34244,44587,post,
20673,34240,44584,post,
21910,34176,44867,post,
18562,33451,44522,post,
22616,32211,41750,post,
22605,32226,41747,post,
20331,33759,41159,post,
20449,33579,41085,post,
21790,32396,41104,post,
19545,33312,41724,post,
22091,32504,41446,post,
21112,33001,40553,post,
20815,33256,40953,post,
21725,32174,40139,post,
22391,32439,42152,post,
22303,32576,41777,post,
22223,32606,41774,post,
22084,32873,44301,post,
22361,31122,38960,post,
22325,31096,38928,post,
21632,33557,45018,post,
21624,33589,45009,post,
22605,32185,41762,post,
22605,32193,41756,post,
22444,31996,41804,post,
22438,31975,41775,post,
21896,32442,41285,post,
21817,32548,44603,post,
21801,32476,44678,post,
22677,31940,43766,post,
22554,32340,43999,post,
22591,32240,43984,post,
22120,33266,44537,post,
22394,31024,40345,post,
21832,33379,44951,post,
22233,33336,44875,post,
22255,33325,44868,post,
21885,33502,44827,post,
22124,33337,44863,post,
21952,33394,44798,post,
21905,33568,44833,post,
21877,33550,44834,post,
22116,31200,37167,post,
21545,34135,45995,post,
21663,34213,46408,post,
21685,33791,44913,post,
21975,34364,46832,post,
18863,33217,44571,post,
21747,34182,46792,post,
21837,34256,46716,post,
21733,34166,46771,post,
21743,34162,46734,post,
21805,33589,44656,post,
21299,34496,46333,post,
21263,34410,46198,post,
22101,33918,46698,post,
21232,34423,46178,post,
22098,33897,46634,post,
21739,34116,45092,post,
21655,34225,46283,post,
21801,34201,46146,post,
18901,33190,44534,post,
19003,33237,44492,post,
18979,33209,44469,post,
22016,33438,44412,post,
21067,33968,45318,post,
21106,33899,45323,post,
21675,34024,45193,post,
21680,34013,45117,post,
21673,32112,44532,post,
21653,32124,44526,post,
21404,33023,40860,post,
21303,32992,40705,post,
21432,32765,40936,post,
21242,32715,40922,post,
19483,33268,41455,post,
19413,33252,41386,post,
19511,33261,41674,post,
22345,30722,40555,post,
22779,30659,41725,post,
22737,30624,41668,post,
22793,30626,41645,post,
22796,30621,41641,post,
22235,30927,40426,post,
22248,30921,40317,post,
19507,33874,44659,post,
19480,33761,44615,post,
18565,33600,44542,post,
18549,33654,44461,post,
19170,33275,44308,post,
19411,33508,44520,post,
18692,33281,41894,post,
21033,33060,40990,post,
19366,33314,41423,post,
19980,33375,41271,post,
19973,33344,41246,post,
21616,32723,41325,post,
18627,33305,41854,post,
20671,33522,40920,post,
20960,33109,40924,post,
21934,30916,37160,post,
21939,30892,37164,post,
21343,31339,36366,post,
20309,33850,46605,post,
21252,32090,36998,post,
21279,32115,36955,post,
21899,33253,44870,post,
21841,34187,45494,post,
21857,34194,45452,post,
21627,34114,45475,post,
21714,33570,45022,post,
22287,32556,44288,post,
22272,32034,41951,post,
22304,32258,42062,post,
22371,31931,41775,post,
22371,32314,42132,post,
22311,32271,42081,post,
22280,32285,42040,post,
22262,30886,40651,post,
21986,30840,37171,post,
20825,31926,35964,post,
22454,31608,38133,post,
22628,31718,41465,post,
22685,31677,41432,post,
22674,31672,41415,post,
22322,31716,41173,post,
22321,31618,41178,post,
22345,31727,41114,post,
22389,31676,41132,post,
21009,33486,41060,post,
22649,32268,43931,post,
22646,32263,43941,post,
22526,32417,44294,post,
22273,32571,44814,post,
22206,32148,41958,post,
22176,32088,41959,post,
22539,32914,43957,post,
21750,32105,41644,post,
21489,32780,40844,post,
21490,32787,40802,post,
22130,32061,42081,post,
22130,32059,42103,post,
22200,32143,42028,post,
22594,31842,43796,post,
22660,31827,43805,post,
20606,33453,41022,post,
20598,33437,41038,post,
20966,33111,41093,post,
21005,33211,41016,post,
21020,33160,41008,post,
20527,33437,41437,post,
22363,31847,41176,post,
22106,31818,40269,post,
22192,32096,41394,post,
22339,31814,41232,post,
22043,30973,39702,post,
22399,31794,39902,post,
