x,y,z,type,bodyId_post
20177,20017,44889,post,
21251,20068,44373,post,
23534,25421,51260,post,
19596,22603,48985,post,
25639,23752,45690,post,
23538,22395,45125,post,
22805,22041,45925,post,
22786,22004,45841,post,
26812,21844,45442,post,
26809,21845,45455,post,
26762,21743,45353,post,
26772,21763,45391,post,
16323,21570,46085,post,
16347,21559,46033,post,
16467,21516,46008,post,
14242,17711,45252,post,
21405,22171,48332,post,
21439,22085,48282,post,
21439,22084,48281,post,
20246,21833,47988,post,
20212,21801,48245,post,
20139,21844,48150,post,
24562,22410,48417,post,
19344,21329,48318,post,
19321,21294,48339,post,
26922,23236,47064,post,
27139,23549,47359,post,
19584,23068,47297,post,
19598,23073,47228,post,
23946,23133,44494,post,
25801,21250,47317,post,
19875,20267,47886,post,
22914,20239,44602,post,
22927,20225,44456,post,
23323,20384,44179,post,
28387,23976,46197,post,
27280,23828,46629,post,
27257,23835,46615,post,
27314,23757,46596,post,
27294,23763,46599,post,
27150,23732,46560,post,
27192,23724,46520,post,
27340,23778,46481,post,
24788,23580,46827,post,
24828,23563,46814,post,
24782,23512,46803,post,
24757,23517,46906,post,
25660,22889,45782,post,
25736,22983,45842,post,
23454,23020,46406,post,
25248,20961,46257,post,
25257,21048,46282,post,
25422,21037,46262,post,
24724,22113,46400,post,
24788,22046,46414,post,
24707,22054,46367,post,
19908,20670,46485,post,
19899,20664,46495,post,
20407,21020,46992,post,
20384,20936,46999,post,
19956,20619,44123,post,
21511,21085,43786,post,
21474,21039,43594,post,
21455,22326,48242,post,
21394,22173,48328,post,
21367,22200,48264,post,
17378,21028,48315,post,
22150,21560,43095,post,
20216,21759,48259,post,
20201,21689,48205,post,
20141,21845,48153,post,
20078,21940,47892,post,
20236,22057,47921,post,
20122,21831,48138,post,
26957,24293,47747,post,
26952,24320,47749,post,
26765,24215,47807,post,
16670,24024,47373,post,
16482,24256,47651,post,
16428,24313,47682,post,
16657,24018,47380,post,
27025,23133,47819,post,
27024,23118,47805,post,
27132,22998,47274,post,
25646,22069,48266,post,
25645,22112,48186,post,
25504,22426,48404,post,
24843,21745,47552,post,
24956,21768,47590,post,
24862,21773,47533,post,
22174,22004,47359,post,
22169,21991,47347,post,
22232,22011,47276,post,
20388,21404,48153,post,
27286,25103,47234,post,
16329,24271,46896,post,
27292,23835,46658,post,
27372,23782,46847,post,
27420,23773,46896,post,
27329,23838,46831,post,
27267,23849,46752,post,
26700,23869,46670,post,
